First_name,Last_name,Number,Team_Name,Goals
Ibby,Woodus,4,Peppermint,7
Theodore,Keenlayside,5,Peppermint,2
Nappie,Huggan,8,Peppermint,4
Arri,Katz,10,Peppermint,9
Robenia,Bevens,30,Peppermint,15
Rochella,Fosh,35,Peppermint,11
Noby,Thaim,53,Peppermint,6
Lucia,Leggott,56,Peppermint,12
Celeste,Maddox,61,Peppermint,15
Humbert,Wilson,76,Peppermint,7
Brendin,Lubman,99,Peppermint,6
Mariette,Oylett,10,Peppermint,10
Matilda,Haugg,31,ALMOST POWDER,1
Marcella,Bartosiak,57,ALMOST POWDER,8
Elisa,Purselow,62,ALMOST POWDER,15
Gilberte,McGuiney,90,ALMOST POWDER,9
Renaud,Phizackerly,85,ALMOST POWDER,8
Wilie,Kittredge,72,ALMOST POWDER,13
Gibbie,Santhouse,52,ALMOST POWDER,8
Sutton,Hellwig,12,ALMOST POWDER,4
Arv,Dicte,8,ALMOST POWDER,10
Tobye,Pawlick,55,ALMOST POWDER,5
Rey,Magee,35,ALMOST POWDER,13
Zenia,Darycott,34,ALMOST POWDER,8
Kitty,Farfolomeev,78,Valsartan,3
Carmel,Kestian,20,Valsartan,8
Clarence,Kernes,30,Valsartan,15
Bran,Lownes,99,Valsartan,13
Ranna,Gibbard,6,Valsartan,5
Mayor,Nulty,29,Valsartan,10
Antonio,Housegoe,11,Valsartan,6
Kerrin,MacAllen,13,Valsartan,0
Ira,Pinnion,24,Valsartan,2
Silvia,Winear,17,Valsartan,1
Garvin,Irdale,77,Valsartan,9
Shaylynn,Jubert,18,Valsartan,3
Ethelbert,De la Eglise,22,allergy,1
Katrine,Tooker,24,allergy,9
Urbanus,Suermeiers,29,allergy,6
Dunstan,Puig,33,allergy,3
Brenna,Cecchetelli,35,allergy,5
Tyler,Fargher,41,allergy,11
Brianna,Marmon,45,allergy,8
Martyn,Pierse,51,allergy,15
Janeta,Erswell,60,allergy,12
Pauline,Blasetti,65,allergy,14
Esme,Clegg,73,allergy,14
Nadiya,Balogun,89,allergy,4
Janie,Gotcliff,5,Bears,14
Alexei,Biasini,14,Bears,9
Janna,Catanheira,22,Bears,3
Thorvald,Norquay,44,Bears,6
Maurise,Gaskill,48,Bears,6
Care,Shurlock,55,Bears,1
Val,Lanaway,57,Bears,13
Doti,Zuenelli,58,Bears,4
Grayce,Esselin,69,Bears,0
Hewe,Donlon,73,Bears,5
Araldo,Lantiff,96,Bears,6
Kalindi,Souten,97,Bears,4
Gray,Boik,12,Neutrogena,8
Baillie,Van De Cappelle,22,Neutrogena,7
Fedora,Stokey,23,Neutrogena,2
Gideon,Mullally,30,Neutrogena,0
Frazer,Hryniewicz,34,Neutrogena,3
Hazel,Bansal,39,Neutrogena,15
Obie,Gillbanks,57,Neutrogena,1
Raffarty,Pymer,62,Neutrogena,14
Rubetta,McCloid,78,Neutrogena,0
Umeko,Ingman,84,Neutrogena,3
Ami,Shegog,85,Neutrogena,0
Aarika,Willson,92,Neutrogena,1
Sergei,Duesberry,12,Pacifica,9
Matty,McTavy,25,Pacifica,8
Erica,Lipson,26,Pacifica,1
Panchito,Josskowitz,29,Pacifica,3
Isobel,Gatch,30,Pacifica,1
Aurie,Sussex,32,Pacifica,1
Grenville,Tumielli,35,Pacifica,5
Bartlett,Mathissen,40,Pacifica,3
Mathilda,Burbury,56,Pacifica,14
Harp,Tembey,82,Pacifica,4
Torey,Blofield,97,Pacifica,10
Athena,Lavington,10,Pacifica,2
Kordula,Paradine,3,IBU,11
Kristofor,Tonepohl,4,IBU,6
Clerkclaude,Ilewicz,5,IBU,1
Daven,Greenhow,6,IBU,12
Nestor,Van de Vlies,12,IBU,9
Stillman,Cuthbertson,22,IBU,0
Zuzana,Filipczak,33,IBU,3
Nikos,Wink,41,IBU,6
Roanne,Bosley,53,IBU,9
Guglielma,Whittock,86,IBU,14
Desiri,Pyrah,91,IBU,3
Mathilda,Denyer,92,IBU,7
Hamil,Till,2,Trazodone,3
Blaire,Billyard,7,Trazodone,8
Faber,Sinncock,9,Trazodone,10
Sallyann,Blackney,27,Trazodone,14
Robbert,Welberry,28,Trazodone,6
Minta,Gianinotti,30,Trazodone,0
Arvy,Tamlett,35,Trazodone,15
Rahel,Grubbe,36,Trazodone,5
Siana,Foot,44,Trazodone,8
Guthrey,Juszczak,47,Trazodone,5
Thaine,Rapport,86,Trazodone,1
Randi,Willes,96,Trazodone,14
James,Charles,98,Venlafaxine,3
Charlie,Cooper,87,Venlafaxine,4
Marlane,Edscer,61,Venlafaxine,7
Cornell,Pavlov,38,Venlafaxine,3
Chauncey,Giddins,18,Venlafaxine,3
Shane,Kenway,29,Venlafaxine,9
Gillian,Daggett,55,Venlafaxine,3
Trescha,Hounsome,70,Venlafaxine,15
Dorolice,Miner,23,Venlafaxine,0
Ailina,Wilkisson,56,Venlafaxine,7
Shea,Gravie,52,Venlafaxine,15
Salomone,Ashbrook,17,Venlafaxine,2
Space,Jam,3,ANILINUM,0
Ashley ,Cooper,55,ANILINUM,1
Felipe,Peacock,54,ANILINUM,1
Heidi,Kingham,64,ANILINUM,10
Corinne,Pickthall,42,ANILINUM,7
Lucius,Marl,58,ANILINUM,10
Bunny,Hollingshead,24,ANILINUM,0
Grady,Overell,44,ANILINUM,11
Edna,Castanyer,71,ANILINUM,13
Marcellus,Sucre,91,ANILINUM,2
Jesse,Andrin,9,ANILINUM,10
Abbye,Mattin,81,ANILINUM,3
Martin,Luther,1,Western Ragweed,2
King,Jr,34,Western Ragweed,1
Lizzie,Fladgate,68,Western Ragweed,13
Kay,Whistlecraft,47,Western Ragweed,8
Lorant,Worden,6,Western Ragweed,5
Pierce,Bleazard,99,Western Ragweed,11
Joycelin,Oxby,46,Western Ragweed,4
Reginauld,Pycock,51,Western Ragweed,3
Bram,De la croix,77,Western Ragweed,5
Meade,Jamrowicz,93,Western Ragweed,4
Nil,Le Brun,5,Western Ragweed,13
Rainer,Staniforth,29,Western Ragweed,8
Stan,Lee,67,ESIKA,4
Steven,Whong,54,ESIKA,3
Hamel,Fullager,76,ESIKA,15
Nancee,Spavins,40,ESIKA,3
Noella,Dicken,13,ESIKA,15
Marie-ann,Atthowe,58,ESIKA,1
Carly,Welbrock,63,ESIKA,5
Dulcinea,Barnes,73,ESIKA,6
Marin,Basterfield,86,ESIKA,8
Guillemette,Chapleo,68,ESIKA,7
Theodoric,Baxster,83,ESIKA,7
Marve,Larvin,89,ESIKA,2
Greg,Weasly,98,Caffeine Citrate,4
Foo,Fighter,45,Caffeine Citrate,0
Waneta,Bussens,3,Caffeine Citrate,14
Ted,Leathe,30,Caffeine Citrate,15
Leola,Eyam,26,Caffeine Citrate,10
Lezley,Conford,34,Caffeine Citrate,8
Merlina,Marks,62,Caffeine Citrate,1
Shep,Gunbie,66,Caffeine Citrate,1
Bernhard,Kharchinski,28,Caffeine Citrate,8
Bab,Causer,89,Caffeine Citrate,7
Seline,Bras,44,Caffeine Citrate,15
Maryann,Roon,60,Caffeine Citrate,2
Pablo,Rooney,23,AMANTADINE,2
Flores,James,54,AMANTADINE,3
Vicky,Gallymore,45,AMANTADINE,15
Rick,Scardifeild,16,AMANTADINE,4
Judith,Kernoghan,21,AMANTADINE,14
Lanae,Bradberry,9,AMANTADINE,11
Kurtis,Hallybone,90,AMANTADINE,5
Lelia,Libero,98,AMANTADINE,2
Adamo,De Pietri,36,AMANTADINE,10
Aprilette,Merner,2,AMANTADINE,7
Waldon,Clue,67,AMANTADINE,0
Annabel,Gavrieli,27,AMANTADINE,13
Luke,Jacobeht,54,Health Smart,1
Terry,Crews,33,Health Smart,3
Remus,Farra,63,Health Smart,10
Yankee,Frany,25,Health Smart,11
Julianna,Brainsby,23,Health Smart,2
Ferris,Stapylton,32,Health Smart,11
Judas,Hardisty,59,Health Smart,10
Trenton,Sparry,70,Health Smart,15
Barris,Gerger,21,Health Smart,2
Bryanty,O' Quirk,30,Health Smart,3
Ferguson,Ottewill,65,Health Smart,6
Giulietta,Addionisio,39,Health Smart,2
Izaak,Yakunkin,31,Hydromorphone,8
Wynny,Dossetter,88,Hydromorphone,13
Cariotta,Stainer,44,Hydromorphone,12
Clarita,Longwood,14,Hydromorphone,6
Matthieu,Thunder,28,Hydromorphone,8
Issiah,Clausson,95,Hydromorphone,10
Paulita,Arendt,2,Hydromorphone,2
Jory,Quidenham,90,Hydromorphone,7
Wallie,Angrick,27,Hydromorphone,10
Tillie,MacTeggart,41,Hydromorphone,14
Greg,Heffly,64,Hydromorphone,12
Dairy,Cheese,76,Hydromorphone,3
Terry,MacBeth,12,NEXT CHOICE,14
William,Scott,87,NEXT CHOICE,2
Siegfried,Albon,69,NEXT CHOICE,0
Junette,Collens,78,NEXT CHOICE,3
Reine,Weed,67,NEXT CHOICE,2
Hanni,Abrahams,55,NEXT CHOICE,14
Maridel,Pigne,11,NEXT CHOICE,8
Cherilyn,Doll,6,NEXT CHOICE,13
Arlie,Lorans,77,NEXT CHOICE,1
Freemon,Gatrill,9,NEXT CHOICE,4
Aidan,Geldert,84,NEXT CHOICE,10
Sigfried,McIlrath,28,NEXT CHOICE,1
Gherardo,Risdall,15,Lovastatin,8
Kliment,Mellodey,31,Lovastatin,12
Adriano,Reynish,50,Lovastatin,4
Aurelea,Backsal,97,Lovastatin,4
Sherry,Schapero,88,Lovastatin,7
Anatole,Steanyng,98,Lovastatin,10
Panchito,Kitchiner,58,Lovastatin,13
Jean,Swafford,13,Lovastatin,7
Eldin,Haacker,69,Lovastatin,6
Jemmie,Soffe,68,Lovastatin,5
Days,Jessica,4,Lovastatin,11
Bobby,James,56,Lovastatin,3
Claire,Sofie,12,FLOVENT,1
Skipy,Elgore,4,FLOVENT,6
Kippy,Cranidge,4,FLOVENT,3
Emmalynn,Kondratovich,38,FLOVENT,11
Victoir,Paxforde,38,FLOVENT,3
Fredrika,Jeannenet,70,FLOVENT,10
Germaine,Dyas,8,FLOVENT,0
Christiane,Noddles,59,FLOVENT,4
Lila,Maggorini,4,FLOVENT,10
Westley,Twaite,61,FLOVENT,6
Legra,Sans,88,FLOVENT,4
Sayres,Benz,59,FLOVENT,6
Blunt,James,99,Panadol,11
Jim,Carrey,0,Panadol,3
Modesty,Raigatt,62,Panadol,2
Shanon,Tetla,3,Panadol,2
Cesar,Mattheissen,87,Panadol,15
Reuben,Cunliffe,12,Panadol,5
Galvin,Mougenel,38,Panadol,2
Leonid,Crufts,40,Panadol,0
Madison,Woolpert,22,Panadol,15
Brianna,Drinkale,46,Panadol,2
Carmelle,Hazeltine,65,Panadol,6
Gustaf,Burlingham,51,Panadol,0
Jacob,Trigun,64,CEFPROZIL,0
Selena,Gomez,76,CEFPROZIL,4
Delaney,Grunson,11,CEFPROZIL,4
Zorine,Clapham,63,CEFPROZIL,5
Elmo,Kennaird,89,CEFPROZIL,15
Catherin,Schwandner,98,CEFPROZIL,7
Ermina,Massen,54,CEFPROZIL,9
Laurie,Coatman,50,CEFPROZIL,5
Donna,Beynkn,7,CEFPROZIL,2
Ricki,Quincey,21,CEFPROZIL,1
Charline,Bloore,3,CEFPROZIL,3
Glynnis,Scraggs,26,CEFPROZIL,11
Juan,Cristo,34,MALARONE,2
Jesus,Christ,12,MALARONE,4
Ellen,Sickamore,26,MALARONE,4
Dominic,Essame,37,MALARONE,9
Keene,Wyldbore,42,MALARONE,1
Audi,Stuck,92,MALARONE,10
Cirillo,Peck,6,MALARONE,4
Camellia,Dutnall,10,MALARONE,2
Sue,Symers,79,MALARONE,7
Philis,Conway,56,MALARONE,5
Salomi,Schlagman,70,MALARONE,6
Sela,Ayshford,13,MALARONE,7
Chilton,Rustadge,16,POPULUS POLLEN,9
Charlotte,Syder,40,POPULUS POLLEN,15
Valina,Meadmore,75,POPULUS POLLEN,13
Delora,Osant,15,POPULUS POLLEN,8
Dolli,Wynrehame,61,POPULUS POLLEN,12
Therine,Sorton,11,POPULUS POLLEN,3
Jeffry,Duinbleton,73,POPULUS POLLEN,10
Raeann,Bodocs,45,POPULUS POLLEN,6
Lacey,Wilton,6,POPULUS POLLEN,12
Richardo,Coulston,82,POPULUS POLLEN,2
Billy,Dixcee,83,POPULUS POLLEN,1
Clarke,Davidovits,78,POPULUS POLLEN,13
Rickie,Trunby,45,Chlorothiazide,1
Malory,Glowacki,3,Chlorothiazide,13
Rogerio,Bawden,20,Chlorothiazide,3
Antonella,Liversidge,91,Chlorothiazide,3
Packston,Gritland,83,Chlorothiazide,4
Judie,Bangham,14,Chlorothiazide,4
Cornie,Midghall,69,Chlorothiazide,6
Kayne,Kiossel,11,Chlorothiazide,2
Pammi,Sliney,50,Chlorothiazide,10
Shirlee,Stowe,76,Chlorothiazide,7
Darbee,Lyard,36,Chlorothiazide,15
Julia,Sutton,13,Chlorothiazide,8
Hubie,Crevagh,78,Calcitriol,11
Grannie,Venart,50,Calcitriol,0
Cristabel,Dungay,83,Calcitriol,8
Georgena,Mart,35,Calcitriol,10
Ashly,Draycott,5,Calcitriol,12
Agnese,Stoltz,17,Calcitriol,6
Udell,Smalman,94,Calcitriol,15
Sammie,Gleadhell,99,Calcitriol,6
Chrystal,Belden,56,Calcitriol,7
Pietrek,Yerbury,4,Calcitriol,14
Duky,Bahls,62,Calcitriol,6
Mercie,Govan,90,Calcitriol,10
